accession,subtype,host,host_source,country,collection_date,isolation_source,seq_technology,st_confidence,seq_length,cluster_top,cluster_subtype,cluster_variant,st_status,human_report,st_note,dist_from_medoid,potential_novel_variant,novel_variant_reason
KT819610.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.006696473058225989,False,
KT819609.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,154,accepted,True,Non-human primates; occasional in humans,0.005736165628692634,False,
KT819608.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.0038192316777844936,False,
KT819607.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,162,accepted,True,Non-human primates; occasional in humans,0.009649538062725302,False,
KT819606.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,77,132,accepted,True,Non-human primates; occasional in humans,0.02525327586967336,True,minority cluster (77)
KT819605.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,77,135,accepted,True,Non-human primates; occasional in humans,0.033393404300226553,True,minority cluster (77)
KT819604.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.0029615043415622483,False,
KT819603.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,165,accepted,True,Non-human primates; occasional in humans,0.012520354965048643,False,
KT819602.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,149,accepted,True,Non-human primates; occasional in humans,0.0067028853424526864,False,
KT819601.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,151,accepted,True,Non-human primates; occasional in humans,0.006709309918843708,False,
KT819600.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,156,accepted,True,Non-human primates; occasional in humans,0.005836605331541222,False,
KT819599.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,159,accepted,True,Non-human primates; occasional in humans,0.004781654704924209,False,
KT819598.1,ST1,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,59,109,249,accepted,True,Most prevalent globally; IBS association,0.012000256009830807,False,
KT819597.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,163,accepted,True,Non-human primates; occasional in humans,0.00862078456930135,False,
KT819596.1,ST1,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,59,105,214,accepted,True,Most prevalent globally; IBS association,0.0334741155155762,False,
KT819595.1,ST1,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,medium,2840,59,108,238,accepted,True,Most prevalent globally; IBS association,0.010016843386166801,False,
KT819594.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,143,accepted,True,Non-human primates; occasional in humans,0.007665349382140014,False,
KT819593.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,142,accepted,True,Non-human primates; occasional in humans,0.006709309918843708,False,
KT819592.1,ST12,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,46,79,149,accepted,True,Non-human primates; occasional in humans,0.00862078456930135,False,
KT819591.1,ST1,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002973244726431833,False,
KT819590.1,ST1,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001978892968635879,False,
KT819589.1,ST1,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,59,108,247,accepted,True,Most prevalent globally; IBS association,0.007962914880653838,False,
KT819588.1,ST3,Sus scrofa,host_qualifier,Thailand,Unknown,stool,PacBio,low,2840,38,60,109,accepted,True,Most prevalent globally; IBS-D association,0.02191819067070635,False,
EU445487.1,ST2,Sus scrofa,host_qualifier,Unknown,Unknown,Unknown,Unknown,medium,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0019730363236864375,False,
KM216262.1,ST3,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0013083300308624733,False,
KM216261.1,ST1,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,59,107,225,accepted,True,Most prevalent globally; IBS association,0.024318239752957993,False,
KM216259.1,ST3,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.0039318569736374875,False,
KM216258.1,ST2,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0012145751642272454,False,
KM216257.1,ST3,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,low,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.033413097739030374,False,
KM216256.1,ST1,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.028420179708914074,False,
KM216255.1,ST3,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,low,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.007894809740240628,False,
KM216254.1,ST1,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,59,107,225,accepted,True,Most prevalent globally; IBS association,0.025348813601132714,False,
KM216253.1,ST3,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,medium,2840,38,59,93,accepted,True,Most prevalent globally; IBS-D association,0.0026223802940469857,False,
KM216252.1,ST1,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.007011737213980353,False,
JX159034.1,ST2,Gorilla gorilla,host_qualifier,Unknown,Unknown,stool,Sanger,low,2840,27,36,49,accepted,True,Common in humans; urticaria association,0.110822444452671,True,d_medoid=0.1108 > 0.0523; minority cluster (36)
JX159024.1,ST2,Gorilla gorilla,host_qualifier,Unknown,Unknown,stool,Sanger,low,2840,27,36,49,accepted,True,Common in humans; urticaria association,0.11342322729294264,True,d_medoid=0.1134 > 0.0523; minority cluster (36)
KF002561.1,ST1,Homo sapiens,organism,Unknown,Unknown,Unknown,Sanger,medium,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
KF002556.1,ST3,Homo sapiens,organism,Unknown,Unknown,Unknown,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0024390265397830073,False,
KF002548.1,ST2,Homo sapiens,organism,Unknown,Unknown,Unknown,Sanger,medium,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0009848983687203543,False,
KF002521.1,ST6,Homo sapiens,organism,Unknown,Unknown,Unknown,Sanger,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.002997006985036482,False,
KF002518.1,ST6,Homo sapiens,organism,Unknown,Unknown,Unknown,Sanger,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.001996673392258562,False,
KF002512.1,ST4,Homo sapiens,organism,Unknown,Unknown,Unknown,Sanger,medium,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,0.003471224015372035,False,
KF002511.1,ST4,Homo sapiens,organism,Unknown,Unknown,Unknown,Sanger,high,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,-0.0,False,
AY618267.1,ST1,Homo sapiens,Unknown,"Thailand: Bangkok, Phayathai Babies Home",Unknown,Unknown,Unknown,medium,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.02303251761402947,False,
JX132230.1,ST3,Homo sapiens,host_qualifier,Unknown,Unknown,stool,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0072347827888540875,False,
JX132229.1,ST3,Homo sapiens,host_qualifier,Unknown,Unknown,stool,Sanger,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.005621011321695291,False,
JX132219.1,ST3,Homo sapiens,host_qualifier,Unknown,Unknown,stool,Sanger,medium,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.008042972522231793,False,
JX132196.1,ST3,Homo sapiens,host_qualifier,Unknown,Unknown,stool,Sanger,medium,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.008042972522231793,False,
EU427519.1,ST2,Macropus rufogriseus rufogriseus (Bennett's wallaby),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0009848983687203543,False,
EU427517.1,ST4,Dendrolagus goodfellowi (Goodfellow's tree kangaroo),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,-0.0,False,
EU427515.1,ST25,Wallabia bicolor mastersii (northern swamp wallaby),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2840,42,66,116,tentative,False,Cattle,0.04667135354880703,True,d_medoid=0.0467 > 0.0273; minority cluster (66)
GU992419.1,ST1,Unknown,unknown,Philippines,Unknown,wastewater,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0010006672598524577,False,
GU992418.1,ST2,Unknown,unknown,Philippines,Unknown,wastewater,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0019710918047021017,False,
GU992417.1,ST1,Unknown,unknown,Philippines,Unknown,wastewater,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
GU992416.1,ST1,Unknown,unknown,Philippines,Unknown,wastewater,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
GU992415.1,ST1,Unknown,unknown,Philippines,Unknown,wastewater,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
GU992414.1,ST1,Unknown,unknown,Philippines,Unknown,wastewater,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
GU992413.1,ST1,Unknown,unknown,Philippines,Unknown,wastewater,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
GU992412.1,ST2,Unknown,unknown,Philippines,Unknown,wastewater,Unknown,medium,2840,52,92,192,accepted,True,Common in humans; urticaria association,0.010905677941883685,True,minority cluster (92)
GU992411.1,ST1,Unknown,unknown,Philippines,Unknown,wastewater,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
EF209020.1,ST48,Geochelone pardalis,Unknown,Czech Republic,Unknown,Unknown,Unknown,low,2840,62,118,259,unknown,False,,,False,
EF209019.1,ST34,Kinixys belliana,Unknown,Czech Republic,Unknown,Unknown,Unknown,low,2840,28,38,51,tentative,False,Limited data,0.0963622951954785,False,
EF209017.1,ST34,Geochelone radiata,Unknown,Czech Republic,Unknown,Unknown,Unknown,low,2840,27,36,49,tentative,False,Limited data,-0.0,False,
GQ223285.1,ST17,Unknown,Unknown,"USA: Fayetteville, AR",Unknown,freshwater stream sediment,Unknown,Unknown,2840,2,2,3,accepted,False,Rodents; cattle,0.012257678356617533,False,
EF468654.1,ST5,Homo sapiens,organism,Unknown,Unknown,Unknown,Unknown,low,2840,46,77,132,accepted,True,Predominantly pigs; zoonotic in humans,0.024540899671162433,True,d_medoid=0.0245 > 0.0200; minority cluster (77)
AF408426.2,ST9,Homo sapiens,Unknown,Japan,Unknown,Unknown,Unknown,medium,2840,12,14,18,accepted,True,Human-specific; rare,0.008349986844259572,False,
AF408425.2,ST9,Homo sapiens,Unknown,Japan,Unknown,Unknown,Unknown,medium,2840,12,14,18,accepted,True,Human-specific; rare,0.008354970030751032,False,
AY135412.1,ST7,Unknown,unknown,Unknown,Unknown,duck feces,Unknown,medium,2840,17,22,31,accepted,True,Primarily birds/poultry,0.013873227931366847,False,
AY135411.1,ST6,Unknown,unknown,Unknown,Unknown,turkey feces,Unknown,medium,2840,12,12,15,accepted,True,Primarily birds/poultry,0.008018786710701638,False,
AY135408.1,ST4,Unknown,unknown,Unknown,Unknown,rat feces,Unknown,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.00568492164207683,False,
AY135407.1,ST4,Unknown,unknown,Unknown,Unknown,rat feces,Unknown,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.0065005824076260574,False,
AY135406.1,ST1,Unknown,unknown,Unknown,Unknown,pig feces,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
AY135405.1,ST1,Unknown,unknown,Unknown,Unknown,pig feces,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002964430736867519,False,
AY135404.1,ST1,Unknown,Unknown,Unknown,Unknown,pig feces,Unknown,medium,2840,59,107,222,accepted,True,Most prevalent globally; IBS association,0.03121255780238037,False,
AY135403.1,ST1,Unknown,Unknown,Unknown,Unknown,pig feces,Unknown,medium,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
EU679349.1,ST1,Unknown,unknown,USA,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
EU679348.1,ST8,Unknown,unknown,USA,Unknown,Unknown,Unknown,medium,2840,34,51,71,accepted,True,Non-human primates; rare in humans,0.0008062349607351183,False,
EU679347.1,ST4,Unknown,unknown,USA,Unknown,Unknown,Unknown,low,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,-0.0,False,
EU679346.1,ST3,Unknown,unknown,USA,Unknown,Unknown,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0033241051645042765,False,
AY618265.1,ST2,Homo sapiens,Unknown,Thailand: Praginburi province,Unknown,Unknown,Unknown,medium,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0009848983687203543,False,
EU445496.1,ST3,Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,-0.0,False,
EU445492.1,ST1,Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
EU445490.1,ST1,Primates sp.,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
EU445488.1,ST1,Primates sp.,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.000987817067395785,False,
EU445486.1,ST1,Sus scrofa,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
EU445485.1,ST6,Gallus gallus,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.002997006985036482,False,
FJ809939.1,ST7,Homo sapiens,organism,Unknown,Unknown,Unknown,Unknown,medium,2840,16,20,27,accepted,True,Primarily birds/poultry,0.04991205040815072,True,d_medoid=0.0499 > 0.0450; minority cluster (20)
AB091251.1,ST4,Brown Norway rat,Unknown,Unknown,Unknown,Brown Norway rat,Unknown,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.00488203513913767,False,
AB091250.1,ST5,Sus scrofa,isolation_source,Unknown,Unknown,Pig,Unknown,high,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0011542903394272956,False,
AB091249.1,ST5,Sus scrofa,isolation_source,Unknown,Unknown,Pig,Unknown,high,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0017321023864968967,False,
AB091248.1,ST5,Sus scrofa,isolation_source,Unknown,Unknown,Pig,Unknown,high,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.002310359932490395,False,
AB091247.1,ST7,Japanese quail,Unknown,Unknown,Unknown,Japanese quail,Unknown,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.005723034255872938,False,
AB091246.1,ST7,Japanese quail,Unknown,Unknown,Unknown,Japanese quail,Unknown,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.003422709876371374,False,
AB091245.1,ST7,Japanese quail,Unknown,Unknown,Unknown,Japanese quail,Unknown,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.0028511724130106807,False,
AB091244.1,ST7,Japanese quail,Unknown,Unknown,Unknown,Japanese quail,Unknown,medium,2840,17,22,32,accepted,True,Primarily birds/poultry,0.010905108900252208,False,
AB091243.1,ST6,Japanese quail,Unknown,Unknown,Unknown,Japanese quail,Unknown,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.00399867658300968,False,
AB091242.1,ST6,Gallus gallus,isolation_source,Unknown,Unknown,chicken,Unknown,medium,2840,12,12,15,accepted,True,Primarily birds/poultry,0.0060060381025071,False,
AB091241.1,ST1,Gallus gallus,Unknown,Unknown,Unknown,chicken,Unknown,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
AB091240.1,ST1,Gallus gallus,Unknown,Unknown,Unknown,chicken,Unknown,medium,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.02303251761402947,False,
AB091239.1,ST7,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Unknown,medium,2840,17,22,32,accepted,True,Primarily birds/poultry,0.012663386026506452,False,
AB091237.1,ST6,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Unknown,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.004002677946140789,False,
AB091236.1,ST6,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Unknown,medium,2840,12,12,15,accepted,True,Primarily birds/poultry,0.00399867658300968,False,
AB091235.1,ST3,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.001629107347027598,False,
AB091234.1,ST3,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0024449899404056143,False,
AB091233.1,ST3,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.001629107347027598,False,
EF200010.1,ST2,Homo sapiens,host_qualifier,Thailand,Unknown,stool,Unknown,low,2840,52,92,192,accepted,True,Common in humans; urticaria association,0.014925865737971184,True,minority cluster (92)
EU082109.1,ST7,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Unknown,medium,2840,16,20,28,accepted,True,Primarily birds/poultry,0.05045380133425978,True,d_medoid=0.0505 > 0.0450; minority cluster (20)
AM275395.1,ST6,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,low,2840,12,13,17,accepted,True,Primarily birds/poultry,0.03479477967728288,True,d_medoid=0.0348 > 0.0200; minority cluster (13)
AM275388.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,193,accepted,True,Common in humans; urticaria association,0.002442998902729883,False,
AM275387.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0036452076616895956,False,
AM275386.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.002442998902729883,False,
AM275385.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0024640679248476584,False,
AM275383.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0012371136825567292,False,
AM275382.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,193,accepted,True,Common in humans; urticaria association,0.0024549940087268533,False,
AM275380.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0024519842027790626,False,
AM275379.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0024519842027790626,False,
AM275377.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0024885962277007992,False,
AM275376.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,medium,2840,52,93,193,accepted,True,Common in humans; urticaria association,-0.0,False,
AM275374.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,medium,2840,52,93,193,accepted,True,Common in humans; urticaria association,-0.0,False,
AM275371.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,low,2840,52,92,192,accepted,True,Common in humans; urticaria association,0.013453275515000487,True,minority cluster (92)
AM275370.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0037174797299462164,False,
AM275369.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,medium,2840,52,93,193,accepted,True,Common in humans; urticaria association,-0.0,False,
AM275368.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0024549940087268533,False,
AM275367.1,ST2,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0024701545589542583,False,
AM275366.1,ST6,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,low,2840,12,13,17,accepted,True,Primarily birds/poultry,0.03381720364738312,True,d_medoid=0.0338 > 0.0200; minority cluster (13)
AM275361.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275360.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.000987817067395785,False,
AM275359.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.000987817067395785,False,
AM275358.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275357.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,medium,2840,59,107,226,accepted,True,Most prevalent globally; IBS association,0.021001372161369814,False,
AM275356.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
AM275355.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,107,226,accepted,True,Most prevalent globally; IBS association,0.021001372161369814,False,
AM275354.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0019828167530474344,False,
AM275353.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275352.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275351.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275350.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275349.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.02405015684749689,False,
AM275348.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
AM275347.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275346.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.02405015684749689,False,
AM275345.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275344.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275343.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AM275342.1,ST1,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
DQ186647.1,ST17,cockroach,host_qualifier,Unknown,Unknown,Unknown,Unknown,low,2840,3,3,4,accepted,False,Rodents; cattle,0.12005510330213728,False,
DQ186646.1,ST17,cockroach,host_qualifier,Unknown,Unknown,Unknown,Unknown,low,2840,3,3,4,accepted,False,Rodents; cattle,0.11998795941764068,False,
DQ186645.1,ST17,cockroach,host_qualifier,Unknown,Unknown,Unknown,Unknown,low,2840,2,2,2,accepted,False,Rodents; cattle,-0.0,False,
DQ186644.1,ST17,cockroach,host_qualifier,Unknown,Unknown,Unknown,Unknown,low,2840,2,2,2,accepted,False,Rodents; cattle,0.003552705002120864,False,
EF079872.1,ST7,Homo sapiens,Unknown,China,Unknown,Unknown,Unknown,medium,2840,16,20,26,accepted,True,Primarily birds/poultry,0.0522556040026596,True,d_medoid=0.0523 > 0.0450; minority cluster (20)
DQ366343.1,ST7,Homo sapiens,Unknown,China: Ganzhou,Unknown,Unknown,Unknown,medium,2840,16,20,27,accepted,True,Primarily birds/poultry,0.05039532791392828,True,d_medoid=0.0504 > 0.0450; minority cluster (20)
AY956324.1,ST2,Homo sapiens,organism,Unknown,Unknown,Unknown,Unknown,medium,2840,52,92,192,accepted,True,Common in humans; urticaria association,0.014925865737971184,True,minority cluster (92)
AY590114.1,ST4,Wistar rat,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,-0.0,False,
AY590113.1,ST4,Wistar rat,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,0.0008094981897568457,False,
AY590111.1,ST4,Sprague-Dawley rat,Unknown,Unknown,Unknown,Unknown,Unknown,high,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,0.0008101540080235059,False,
AY590110.1,ST1,Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002964430736867519,False,
AY590109.1,ST7,Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.008024532034295536,False,
